Flat file name			Form box
NAME 					Box 1
SSN						Box 2
BLOCK_CURR				Box 3
SEP_DATENOA_DESC		Box 4  //Need Fields Separated if Possible
PRIOR_LV_DATE_MM		Box 7 MO
PRIOR_LV_DATE_DD		Box 7 DAY
PRIOR_LV_DATE_YYYY		Box 7 YEAR
AL_CO					Box 7 Annual
SL_CO					Box 7 Sick
RL_CO					Box 7 Restores
24_MTHS_BEG_MM			Box 18 Started MO
24_MTHS_BEG_DD			Box 18 Started DAY
24_MTHS_BEG_YYYY		Box 18 Started YEAR
24_MTHS_END_MM			Box 18 Completed MO
24_MTHS_END_DD			Box 18 Completed DAY
24_MTHS_END_YYYY		Box 18 Completed YEAR
CURR_LY_ACCRUAL_MM		Box 8 MO
CURR_LY_ACCRUAL_DD		Box 8 DAY
CURR_LY_ACCRUAL_YYYY	Box 8 YEAR
CURR_LY_ACCRUAL_AL		Box 8 Annual
CURR_LY_ACCRUAL_SL		Box 8 Sick
CURR_LY_ACCRUAL_RL		Box 8 Restored
12_MTH_BEG_MM			Box 19 MO
12_MTH_BEG_DD			Box 19 DAY
12_MTH_BEG_YYYY			Box 19 YEAR
TOTAL_AL				Box 9 Annual
TOTAL_SL				Box 9 Sick
TOTAL_RS				Box 9 Restored
REDUCT_AL				Box 10 Annual
REDUCT_SL				Box 10 Sick  //Missing Box 10 Restored?
HRS_AWOL				Box 19 Hours
TOT_LV_USED_AL			Box 11 Annual //Something is up with this field
TOT_LV_SED_SL			Box 11 Sick
TOT_LV_USED_RS			Box 11 Restored
CUR_BAL_DATE_MM			Box 20 MO
CUR_BAL_DATE_DD			Box 20 DAY
CURR_BAL_DATE_YYYY		Box 20 YEAR
AL_BAL					Box 12 Annual
SL_BAL					Box 12 Sick
RS_BAL					Box 12 Restored
LUMP_SUM_PAY_AL			Box 13 Annual
LUMP_SUM_PAY_RS			Box 13 Restored
CUR_BAL_DAYS			Box 20 Days
HOURLY_RATE				Box 14
12_MTH_ACCRUAL			Box 21
LUMP_SUM_RS_BEG_MM		Box 15a From MO
LUMP_SUM_RS_BEG_DD		Box 15a From DAY
LUMP_SUM_RS_BEG_YYYY	Box 15a From YEAR
PRIOR_24_MTHS_BEG_MM	Box 22 From MO
PRIOR_24_MTHS_BEG_DD	Box 22 From DAY
PRIOR_24_MTHS_BEG_YYYY	Box 22 From YEAR
PRIOR_24_MTHS_END_MM	Box 22 To MO
PRIOR_24_MTHS_END_DD	Box 22 To DAY
PRIOR_24_MTHS_END_YYYY	Box 22 To YEAR
LUMP_SUM_RS_END_MM		Box 15a Thru MO
LUMP_SUM_RS_END_DD		Box 15a Thru DAY
LUMP_SUM_RS_RND_YYYY	Box 15a Thru YEAR
LUMP_SUM_RS_HRS			Box 15a Hours - I would put this on the Thru line
LUMP_SUM_AL_BEG_MM		Box 15b From MO
LUMP_SUM_AL_BEG_DD		Box 15b From DAY
LUMP_SUM_AL_BEG_YYYY	Box 15b From YEAR
LUMP_SUM_AL_END_MM		Box 15b Thru MO
LUMP_SUM_AL_END_DD		Box 15b Thru DAY
LUMP_SUM_AL_END_YYYY	Box 15b Thru YEAR
LUMP_SUM_AL_HRS			Box 15b Hours - I would put this on the Thru line
HRS_LWOP				Box 16
LAST_WIG_MM				Box 17 MO
LAST_WIG_DD				Box 17 DAY
LAST_WIG_YYYY			Box 17 YEAR
MIL_LV_BEG_MM			Box 23 From MO
MIL_LV_BEG_DD			Box 23 From DAY
MIL_LV_BEG_YYYY			Box 23 From YEAR
MIL_LV_END_MM			Box 23 To MO
MIL_LV_END_DD			Box 23 To DAY
MIL_LV_END_YYYY			Box 23 To YEAR
REMARK					Box 24
CERTIFIED_BY			Box 25	
TITLE_LOCATION			Box 26
DATE					Box 27
